上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:105/10/07
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後賣價,發行股數 ,次日漲停價 ,次日跌停價
"2724","富驛-KY","9.68","- 0.32 ","9.73","9.87","9.68","14,000","136,150","10","9.67","9.78","38,172,290","10.60","8.72"
"2726","雅茗-KY","68.80","+ 0.50 ","68.30","68.80","67.50","19,000","1,301,300","13","67.40","68.80","30,096,308","75.60","62.00"
"2729","瓦城","219.00","- 1.00 ","221.00","221.00","219.00","12,000","2,635,000","6","219.00","220.00","23,266,000","240.50","197.50"
"2732","六角","79.50","- 0.20 ","79.70","79.70","79.30","58,000","4,606,800","29","79.30","79.60","32,803,171","87.40","71.60"
"2734","易飛網"," ----","--- ","----","----","----","0","0","0","19.45","19.70","30,259,760","21.35","17.55"
"2736","高野","23.80","- 0.15 ","23.80","23.80","23.80","1,000","23,800","1","23.55","23.70","48,992,383","26.15","21.45"
"2740","天蔥","35.65","- 0.10 ","34.00","36.50","34.00","22,000","785,650","20","34.30","35.70","15,978,196","39.20","32.10"
"2916","滿心","16.30","+ 0.05 ","16.30","16.30","16.30","1,000","16,300","1","16.20","16.35","54,626,878","17.90","14.70"
"2924","東凌-KY","53.40","0.00 ","53.40","53.40","53.40","1,000","53,400","1","53.40","54.50","34,005,174","58.70","48.10"
"2926","誠品生活","178.00","- 1.00 ","179.50","179.50","177.50","22,000","3,931,500","21","177.50","179.00","47,389,650","195.50","160.50"
"2928","紅馬-KY","52.60","0.00 ","52.60","52.60","52.60","3,000","157,800","3","52.50","53.00","47,301,154","57.80","47.35"
"3064","泰偉","32.60","- 0.70 ","33.00","33.30","32.55","97,000","3,177,100","63","32.60","32.80","72,105,141","35.85","29.35"
"3066","李洲","6.80","0.00 ","6.80","6.80","6.80","3,000","20,400","2","6.69","6.97","83,070,612","7.48","6.12"
"3067","全域","16.40","+ 1.45 ","16.40","16.40","16.00","130,000","2,131,300","59","16.40","0.00","29,025,240","18.00","14.80"
